Inscription	Museum Reference	Dimensions
НT 1	HM 3	6,60 x 7,00 x 0,90 cm
HT 2	HM 4	4,80 x 6,90 x 0,90 cm
HT 3 	HM 5	5,90 x 9,20 x 0,80 cm
НT 4 	HM6	[4,70] x [3,60] x 0,90 cm
HT 6	HM 8- 	5,80 x 9,10 x 0,90 cm
HT 7	HM 10	4,80 x 7,60 x 1,30 cm
HT 8	HM 11-	5,30 x 7,40 x 1,00 cm
HТ 9	HM 13	4,30 x 7,30 x 0,80 cm
HT 10	HM 17	6,40 x 5,70 x 4,10 cm
HT 11	HM29	4,40 x 5,80 x 0.70 cm
HT 12	HM& (monlag)	5,80 x 9,20 x ? cm
HT 13	HM7	6,1O x 40,5 x 0,80 cm
НT 14	HM 15	6,20 x 9,90 x 0.90 cm
HT 15	HM 16	5,10 x 6,90 x 0,90 cm
HT 16	HM 18	4,60 x 6,80 x 1,00 cm
HT 17	HM 23- 	4,60 x 5,60 x 0.70 cm
HT 18	HM 25	4,00 x 5,70 x 0,80 cm
HT 19	HM 26	3.50 x 5,90 x 0,80 cm
HT 20	HM 27	3,90 x 6,20 x 0,80 cm
HT 21	HM 28	4,50 x 6,70 x 0,90 cm
HT 22	HM 45	3,40 x [3,00] x 0,60 cm
HT 23	HM 12	5,60 x 6,90 x 0,80 cm
HT 24	HM 33	5,90 x 7,90 x 0,90 cm
HT 25	HM 34	7,00 x [6,30] x 4,00 cm
HT 26	HM 35-	4,50 x [5,20] x 0,90 cm
HT 27	HM 36 +53	6,70 x 9,30 x 1,00 cm
HT 28	HM 51- 	5,90 x 8,50 x 0,90 cm
НT 29 	HM9 	5,70 x 9,50 x 0,80 cm
HT 30	HM 14	5,40 x 8,10 x 0,70 cm
HТ 31 	HM 19 	5,80 x 6,50 x 0,90 cm
HT 32 	HM20	5,40 x 7,80 x 0,70 cm
HT 33	HM24	5,80 x 7,80 x 0,60 cm
HT 34	HM 22	5,00 x 7,60 x 0,0 cm
HТ 35	HM 24	5.40 x 5,70 x 0,70 cm
HT 36 	HM 30	4,60 x 6,10 x 0,90 cm
HT 37	HM 31- 	3,90 x 5,50 x 0,70 cm
HТ 38 	HM 32	6,90 x [5,90] x 0,90 cm
HТ 39 	HM 39	[4,80]x [7,00] x [0,70] cm
HT 40	HM 40	4,800 x [4,40] x 0,80 cm
HT 41	HM 41	5,10 x [3.30) x 0,80 cm
HT 42	HM 46 [+]42	6,20 x [4,80]+[5,30] x 0,90 cm
HT 43	HM 49	4,50 x 3,30 x 0,90 cm
HT 44	HM 38	[4,20] x [8,20] x 1,40cm
HT 45	HM 47	6,00 x [5.10] x 0,80 cm
НT 47	HM 52- 	5,80 x 8,50 x 1,30 cm
HT 49	HM 55	5,50 x [3.00]+[6,20] x 0,0cm
HT 50	HM 56	4,20 x [5,00] x 1,00 cm.
HT 51	HM 1335	[3,60] x [4,70] x 0,70 cm
HT 52	HM	[3,20] x [4.20] x 0,60 cm
HT 53	HM	[4,50] x [5,80] x 0,80 cm
HT 54	HM- 	[2.60] x [2,40)x 0,70cm
HT 55	HM	[3,60] x [3,00] x 0,90 cm
НT 56	HM- 	[4.60] x [a,40]* 0,70 cm
HT 57	HM	[3,00)x [2,80] x 0,70 cm
HT 60	HM 43 -	[5,00] x [4,50] x 0,90 cm
HT 61	HM 44	[4,6]x [5,80] x 4,10
HT 62	HM 54[+1	[5,10] x [7,00]+[3,30] x 0,80 cm
HT 63	HM 57	5,80 x [4,20] x a 80 cm
HT 64	HM	[2.70], [4,10] x 960 cm
HT 65	HM	[3,90] x [2.70] x 0,90 cm
HT 66	HM- 	[2,90] x [4.30] x 0,60 cm
HT 68	HM- 	[4,10] x [4,30] x 0,80 cm
HT 72	HM	[2,00] x [1,80] x 0,70cm
HT 74	HM	 [2,60] x [ 4,90] x [0.50]em.
HT 75	HM	 [2.50] x [1,90] x 0,70 cm
HT 78	HM	[1,60] x [4,20] x [0,20] cm
HT 79	HM	 [2,30] +[3,20] x [3,00]+[9,60] x 0,80 cm
HT 80	HM	[2,60]x [3,00] x [0,60] cm
HT 81	HM	 [3,40] x [2,00] x 0,60 cm
HT 82	HM	[2,20] x [4,00] x 0,40 cm
HT 84	HM	[4,10] x [3,20] x 0,90 cm
HT 85	HM 1844 	5,40 x 7,40 x 4. 30 cm
HT 86	HM 1328	5,80 x 8,50 x 1,00 cm
HT 87	HM 1309	5,50 x 7,60 x 4,00 cm
HT 88	HM 1312	5,80 x 7,00 x 0,90 cm
HT 89	HM 1313	5,70 x 7,20 x 1,40 cm
HT 90	HM 1314	5,00 x 6,30 x 0,90 cm
HT 91	HM 1818	4,70 x 6,40 x 0,90 cm
HT 92	HM 1324	5,70 x 4,80 x 4,20 cm
HТ 93	HM 1307	6,10 x 40,70 x 4,00 cm
HT 94	HM 1316	5,30 x 7,50 x 0,80 cm
HT 95	HM 1320	4,50 x 6,90 x 0,90 cm
HT 96	HM 1829	 5,70 x 7,20 x 0,80 cm
HT 97	HM 4330	7,70 x [6,40] x 1,20 cm
HT 98	HM 1334	6,30 x [7,00] x 0,90 cm
HT 99	HM 1334	4,20 x 5,90 x 0,90 cm
HT 100	HM 1306	7,50 x 10,00 x 0,90 cm
HT 101	HM 1308	4,90 x 7,40 x 4,00 cm
HT 102	HM 1310 	6,10 x 1,00 x 1,00 cm
HT 103	HM 1315	5,40 x 7.30 x 4,00 cm
HT 104	HM 1317	4,30 x 7,60 x 0,80 cm
HT 105	HM 1324	4,90 x 6,60 x 0,60cm
HT 106	HM 1323	5,20 x [6.60] x 0,60 cm
НT 107	HM 1325	5,30 x [4,50] x [0,80] cm
HT 108	HM 1326	4,90 x [5,70] x 0,90 cm
HT 109	HM4833	[6.90] x [7,30] x 4,20 cm
HT 110	HM 1319	 5,10 x 8,50 x 0,70 cm
HT 111	HM 1327	[5,40] [4,70] x 4,00 cm
HT 112	HM 1346	[2.30] x [3,80] x 0,60 cm
HT 113	HM	 [1,60] x [2.10] x [0.30]cm
HT 114 	83735	3,80 x 5,60 x 0,80 cm
HT 115	HM 1360	6.10 x 8.30 x 1,40 cm
HT 116	HM 136 1	5,20 x 7,60 x 0,60 cm
HT 117	HM 1364	6.70 x d0,90 x 0,80 cm
HT 118   	Pigorimi 83734	5,30 x 7,50 x 0,80 cm
HT 119	HM 1362	6,30 x 7,60 x 0,80 cm
HT 120	HM 1363	5,30 x 8,30 x 0,90 cm
HT 121	HM 1365	4,10 x 6,00 x 1,00 cm
HT 122	HM 1366	5,80 x 8,70 x 0,80 cm
HT 123	HM 1367 + 1371	5,50 x 10,10 x 0,80 cm
HT 125	HM	  4,40 x [5,40] x 0,10 cm
HT 126	HM	 [4,40] x [5.90] x 1.00 cm
HT 127	HM	 6,40 x [7,80] x 0,80 cm
HT 128	HM	5.70 x [5,70] x0,90 cm
НT 129 	HM 1368	5.50 x [5,30] x 0,90 cm
НT 130	HM 1369	5,90 x 40,00 x 0,80 cm
HT 131	HM 1372	 4,50 x [5,00] x 0,90 cm
HT 132	HM	 5,50 x [2.70] x 0,80 cm
HT 133	HM	  3,70 x 3,80 x 0,60 cm
HT 135	HM	[5.00] x [5,60] x 0,70 cm
НT 136	HM	[2. 40] x [5,40]k 0,80 cm
HT 137	HM	4,30 x [4,5] x 0,50 cm
HT 139	HM	 [3,30] x [3,40] x 0,90 cm
HT 140	HM	 6.60 x 9,40 x 0,70 cm
HT 141	HM	 [2.30] x [4.90] x [0,60] cm
HT 142	HM	 [1,70]x [1,80] x 0,60 cm
HT 144	HM	[3,40] x [5,Lo] 0,80 cm
HT 146	HM	  5,00 x [4,70] x 0,90 cm
HT 147	HM	 [4,90]x [4,00] x 0,70 cm
HT 154	HM 1370	4,70 x 6,10 x 0,go cm
HT 154	HM 1312	4,20 x 7,10 x O,90 cm
HT 154	HM	[3,20]x 4,10 x 0,80 cm
HT 154	HM	[1,60] x [2,00) [0,60] cm
HT 154	HM	3,70 x [3,80] x 0,70 cm
HT 154	HM	[2,80] x [d.40] x 0,50 cm
HT 154	HM	[3,50] x [3.30] x 1,00 cm
HT 154	HM	 [1,60] x [4.80] x [0.40]cm
HT 154	HM	 [2,80] x [4,80] x 0,80 cm
HT 154	HM	[3,10] x [3,50] x 0,80ccm
HT 154	HM	[2,80] x [4,00]* 0,90cm
KE 1	274	3,10 x 1,90 x 1,90 cm
KN 1	HM 4267	3.90 x 5,20 x 0,90 cm
KN 22	HM5800 	[5,10] x 2,40 x 1,20 cm
KN 28	HM 708 	[2,90] x [4,00] x 0,90cm
KN 32	HM 4533	[2,60] x [4,80] x0,50 cm
МА 1 	HM 1387	8,90 x 2,00 x 4,80 cm
МА 2	HM 1894 94	5,00 x 2,20 x 9,20 x 2,20 cm
MA 6	HM 4380 	9.50 x 4,50 x 4,90 cm
МА 9 	HMjs82 	[4,40] x 2,90 x 4,50 cm
РК 1	HM 86	6,80 x 10,20 x 1,50 cm
РА 1 	HM 1336	6,00 x 3,80 x 1,20 cm
PH 1	HM 1359	3,50 x 4,70 x 0,30cm
PH 2	HM 1376	4.80 x [5,00] x 4,10 cm
PH 3	HM 1405 	[5,30]x [7,30] x 0,90 cm
PH 9	HM 1540	4,60 x 1,60 x 4,00 cm
PH 10	HM 45 11	 4,40 x 2,60 x 1,00 cm
PH 11	HM 1512	5,10 x 7,00 x 4.40 cm
PH 12	HM 15 13 + 1524 	[5,26] x 2,20 x0,80 cm
PH 16	HM 1547 	[5,50] 3.70 x 1,20 cm. 
